,Animal 1,Animal 2,Animal 3,Animal 4,Animal 5,Animal 6,Animal 7,Animal 8
,Sheep,Pig,Cow,Goat,,,,
Mcalories Kg-1,3.2,3.2,3.2,3.2,,,,
Usable %,50.00%,50.00%,50.00%,50.00%,,,,
Average Kill Weight,30,100,400,30,,,,
Weaning Weight,8,2,50,8,,,,
Adult Weight,60,200,625,60,,,,
Grow Time,40,40,50,40,,,,
Death Rate,30.00%,30.00%,20.00%,30.00%,,,,
Conception Efficiency,80.00%,70.00%,85.00%,80.00%,,,,
Sex Maturity,18.00,18,18,18,,,,
Breeding Years,5,5,8,5,,,,
Babies Birth-1,1,6,1,1,,,,
Wean Age,60,30,60,60,,,,
Gestation,150,115,279,150,,,,
Oestrous Cycle,21,21,21,21,,,,
Lactation Time,210,30,240,210,,,,
Ratio F:M breed stock,20,20,20,20,,,,
,,,,,,,,
Desired Herd Size,50,0,10,50,,,,
Mixed Herd Numbers,25,0,2,25,,,,
,,,,,,,,
Milk grams day-1,0.94,0,6,0.9,,,,
Milk Mcals Kg-1,0.94,0,0.94,0.94,,,,
,,,,,,,,
Ewe Fleece Kg Yr-1,2.25,,,,,,,
Ram Fleece Kg year-1,1.75,,,,,,,
Juvenile Fleece Kg Yr-1,1.4,,,,,,,
,,,,,,,,
Gestation Req'd,3.97,3.97,6,3.97,,,,
Lactation Req'd,5.41,5.41,7.5,5.41,,,,
Maintenance Req'd,3.2,0,5.8,3.2,,,,
Juvenile's Req kg-1,0.03,0.03,0.03,0.03,,,,
Land Energy Hectare-1,1500,1500,1500,1500,,,,
,,,,,,,,
Fodder Fed From Crop,Crop 10,Crop 10,Crop 10,Crop 10,,,,
,Barley,Barley,Barley,Barley,,,,
Grams-1  Straw/Chaff,1000,,4956,1000,,,,
Grams-1  Grain,750,750,1500,750,,,,
Days on supplemental feeding program,90,90,90,90,,,,
