,,
Plants Mcal,"77,786.956",
Meat Mcal,9124.99999999999,
Dairy,"4,338.04381499684",
,Perfect,
Plants %,85.25%,
Meat %,10.00%,
Dairy %,4.75%,
check,Perfect,
Percent,,
Domestic Meat,9.90%,
Dairy,4.75%,
Wild Meat,0.10%,
Crops,76.72%,
Wild Plants,8.52%,
check,Perfect,
,,
new dairy,4338.04,
potential dairy < limit,TRUE,
new limit,90.0%,
the limit greater than that left to satisfy,TRUE,
limit,1,
limit dairy checked,FALSE,
Mcalories,,Surplus
Domestic Meat,"9,033.750",
Dairy,"4,338.044",0.000
Wild Meat,91.250,
Crops,"70,008.261",
Wild Plants,"7,778.696",
check,Perfect,
,,
SURPLUS DAIRY,0.000,
This could account for additional % of diet,0.00%,
