,Sheep,Pig,Cow,Goat,,,,
Mothers Req'd,11,5,10,37,,,,
Males for Slaughter,5,12,4,16,,,,
Females for Slaughter,0,8,1,1,,,,
Offspring available for Consumption,10,24,9,32,,,,
,,,,,,,,
Gestation Req'd,3041,9182,9633,10123,,,,
Lactation Req'd,5802,3264,10358,19312,,,,
Maintenance Req'd,7249,0,3229,23313,,,,
Adult Males,559,0,941,1861,,,,
Offspring Required,3249,26600,38761,10356,,,,
Energy Required ,19900,39046,62923,64965,,,,
,,,,,,,,
Ewe Fleece Kg Yr-1,25,,,,,,,
Ram Fleece Kg year-1,1,,,,,,,
Juvenile Fleece Kg Yr-1,14,,,,,,,
Kg Fleece Year-1,40,0,0,0,,,,
