A&A	Antike und Abendland
AA	Archäologischer Anzeiger
AAA	Archaiologika analekta ex Athenon(Athens Annals of Archaeology)
AAES	Publications of an American Archaeological Expedition to Syria
AAS	Annales archéologiques arabes syriennes
AASOR	Annual of the American Schools of Oriental Research
AbhBerl	Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin
AbhGött	Abhandlungen der Akademie der Wissenschaften zu Göttingen
AbhHeid	Abhandlungen der Heidelberger Akademie der Wissenschaften
AbhKM	Abhandlungen für die Kunde des Morgenlandes
AbhLeip	Abhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig, Philologisch-historische Klasse
AbhMainz	Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse, Akademie der Wissenschaften und der Literatur in Mainz
AbhMünch	Bayerische Akademie der Wissenschaften, München, Philosophisch-historische Klasse. Abhandlungen
ABL	C.H.E. Haspels, Attic Black-figured Lekythoi (Paris 1936)
ABV	J.D. Beazley, Attic Black-figure Vase-painters (Oxford 1956)
Acme	Acme: Annali della Facoltà di Filosofia e Lettere dell'Università statale di Milano
ACNAC	Ancient Coins in North American Collections
ActaAArtHist	Acta ad archaeologiam et artium historiam pertinentia
ActaArch	Acta archaeologica [Copenhagen]
ActaArchHung	Acta archaeologica Academiae scientiarum Hungaricae
ActaArchLov	Acta archaeologica Lovanensia
ActaInstRomFin	Acta Instituti romani Finlandiae
ActaLund	Acta Universitatis Lundensis
ActaNum	Acta numismatica
ActaOrHung	Acta orientalia Academiae scientiarum Hungaricae
ADAJ	Annual of the Department of Antiquities of Jordan
AdI	Annali dell'Istituto di corrispondenza archeologica
Aegaeum	Aegaeum: Annales d'archéologie égéenne de l'Université de Liège
ÄgForsch	Ägyptologische Forschungen
AEM	Archäologisch epigraphische Mitteilungen aus Österreich-Ungarn
AÉpigr	L'Année épigraphique
AeR	Atene e Roma
Aevum	Aevum. Rassegna di scienze storiche, linguistiche e filologiche
AF	Archäologische Forschungen
AfO	Archiv für Orientforschung
Africa	Africa: Institut national d'Archéologie et d'Art [Tunis]
AfrIt	Africa italiana
AfrRom	L'Africa romana
Agora	Athenian Agora (Princeton 1953– )
AgoraPicBk	Excavations of the Athenian Agora: Picture Book (Princeton 1958– )
AHR	American Historical Review
AIABull	Bulletin of the Archaeological Institute of America
AIANews	Newsletter of the Archaeological Institute of America
AIIN	Annali dell'Istituto Italiano di Numismatica
AION	Annali dell'Istituto universitario orientali di Napoli
AJA	American Journal of Archaeology. The Journal of the Archaeological Institute of America
AJAH	American Journal of Ancient History
AJN	American Journal of Numismatics
AJP	American Journal of Philology
AJSL	American Journal of Semitic Languages and Literatures
Akkadica	Akkadica. Périodique bimestriel de la Fondation assyriologique Georges Dossin
Altertum	Das Altertum
AltO	Der alte Orient
AM	Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung
AM-BH	Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung: Beiheft
AmerAnt	American Antiquity
AMIran	Archäologische Mitteilungen aus Iran
Ampurias	Ampurias. Revista de prehistoria, arqueología y etnología
AmtlBer	Amtliche Berichte aus den königlichen Kunstsammlungen
AMUGS	Antike Münzen und geschnittene Steine
Anadolu	Anadolu. Revue annuelle des études d'archéologie et d'histoire en Turquie
AnalBoll	Analecta Bollandiana
AnalFran	Analecta Franciscana
AnalOr	Analecta Orientalia
AnalRom	Analecta Romana Instituti Danici
Anatolia	Anatolia. Revue annuelle de l'Institut d'archéologie de l'Université d'Ankara
Anatolica	Anatolica: Annuaire international pour les civilisations de l'Asie antérieure
AnatSt	Anatolian Studies. Journal of the British Institute of Archaeology at Ankara
AncEg	Ancient Egypt
AncW	The Ancient World
AnnAcFenn	Annales Academiae scientiarum Fennicae
AnnArch	Annales archéologiques
AnnArchBrux	Annales de la Société royale d'archéologie de Bruxelles
AnnArchStorAnt	Annali del Seminario di studi del mondo classico: Sezione di archeologia e storia antica
AnnBari	Annali della Facoltà di Lettere e Filosofia, Università di Bari
AnnÉconSocCiv	Annales. Économie, sociétés, civilisations
AnnFaina	Annali della Fondazione per il Museo "Claudio Faina"
AnnInst	Annales Institutorum
AnnLiv	Annals of Archaeology and Anthropology [Liverpool]
AnnLux	Annales de l'Institut archéologique du Luxembourg [Arlon]
AnnNap	Annali della Facoltà di Lettere e Filosofia, Università di Napoli
AnnParis	Annales de l'Université de Paris
AnnPerugia	Annali della Facoltà di Lettere e Filosofia, Università degli studi di Perugia
AnnPhilHist	Annuaire, Institut de philologie et d'histoire, Université libre, Bruxelles
AnnPisa	Annali della Scuola normale superiore di Pisa
AnnRepCypr	Annual Report of the Director of the Department of Antiquities, Republic of Cyprus
AnnTor	Annuario della Accademia delle scienze di Torino
ANRW	H. Temporini, ed., Aufstieg und Niedergang der römischen Welt (Berlin 1972– )
